paper_id,title,year,language,journal_or_source,doi,pdf_path,source_collection,topic_group,method_group,relevance_level,has_pdf,has_reader,has_paper_card,read_in_batch_01,read_in_batch_02,read_in_remote_sensing_style_rereading,included_in_skill_source,coverage_status,importance_for_skill,missing_reason,recommended_action
KRD0038,石漠化遥感信息提取方法进展,2021,Chinese,应用生态学报（万方/百度学术检索结果）,10.3969/j.issn.0255-8297.2021.06.007,docs/literature/pdfs/package_2021_2026/石漠化遥感信息提取方法进展.pdf,package_2021_2026,review,review,Chinese review; useful for Chinese literature background and method taxonomy.,yes,no,no,no,no,no,no,unread_but_indexed,medium,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0039,遥感植被指数增强石漠化信息研究,2021,Chinese,中文期刊（开放检索页）,,docs/literature/pdfs/package_2000_2026/遥感植被指数增强石漠化信息研究_叶杰.pdf; docs/literature/pdfs/package_2021_2026/遥感植被指数增强石漠化信息研究.pdf,package_2000_2026; package_2021_2026,rocky_desertification_classification,vegetation_index,Useful Chinese index-based KRD extraction study; includes classification accuracy and Kappa.,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0040,A novel-optimal monitoring index of rocky desertification based on Sentinel-2 MSI data,2022,English,Geocarto International or related Taylor & Francis outlet,10.1080/19475705.2022.2092038,,,rocky_desertification_classification,vegetation_index,Useful for index/feature-space arguments and red-edge relevance.,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0041,Extraction of rocky desertification information in karst area by using different multispectral sensor data and multiple endmember spectral mixture analysis method,2022,English,Frontiers in Environmental Science,10.3389/fenvs.2022.996708,,,lsmm_mesma_sma,MESMA;SMA,high,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0042,Information Extraction and Prediction of Rocky Desertification Based on Land Use Changes and FLUS Model,2022,English,Sustainability,10.3390/su142013385,,,machine_learning,unknown,medium,no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0043,"Machine learning algorithm for estimating karst rocky desertification in a peak-cluster depression basin in southwest Guangxi, China",2022,English,Scientific Reports,10.1038/s41598-022-21684-5,,,machine_learning,RF,"Useful for feature-factor selection, RF comparison, and justifying terrain/vegetation/rock exposure factors.",no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0044,Spatiotemporal Evolution Analysis and Future Scenario Prediction of Rocky Desertification in a Subtropical Karst Region,2022,English,core,10.3390/rs14020292,,,gee_time_series,time_series,Background for regional KRD evolution and the use of ML-driven RS products.,no,no,no,no,no,yes,yes,style_read_only,critical,read for Remote Sensing style but not full scientific reader,batch_03_quick_reading
KRD0045,The Changes of Spatiotemporal Pattern of Rocky Desertification and Its Dominant Driving Factors in Typical Karst Mountainous Areas under the Background of Global Change,2022,,core,10.3390/rs14102351,,,gee_time_series,time_series,,no,no,no,no,no,yes,yes,style_read_only,critical,read for Remote Sensing style but not full scientific reader,batch_03_quick_reading
KRD0046,Extraction of Rocky Desertification Information in the Karst Area Based on the Red-NIR-SWIR Spectral Feature Space,2023,English,core,10.3390/rs15123056,,,rocky_desertification_classification,feature_space,very_high,no,no,no,no,no,yes,yes,style_read_only,critical,read for Remote Sensing style but not full scientific reader,batch_03_quick_reading
KRD0047,"Monitoring and Classification of Karst Rocky Desertification with Landsat 8 OLI Images Using Spectral Indices, Multi-Endmember Spectral Mixture Analysis and Support Vector Machine",2023,English,International Journal of Engineering and Geosciences,10.26833/ijeg.1149738,,,lsmm_mesma_sma,MESMA;SMA;SVM,Direct comparison point for LSMM/MESMA and SVM classification of KRD.,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0048,Monitoring the evolution process of karst desertification and distinguishing human and climate impacts,2023,English,Environmental Science and Pollution Research,10.1007/s11356-023-30920-y,,,broader_desertification,unknown,medium,no,no,no,no,no,no,no,pdf_missing,medium,no PDF path or local PDF was found,manual_check
KRD0049,基于GEE的曲靖石漠化时空演变过程分析,2023,Chinese,西南林业大学学报（自然科学）,10.11929/j.swfu.202109006,,,gee_time_series,GEE;time_series,low,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0050,基于机器学习算法的喀斯特峰丛洼地石漠化程度评估,2023,Chinese,中国水土保持科学,10.16843/j.sswc.2023.05.006,,,machine_learning,SVM,very_high,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0051,A Rocky Desertification Land Extraction Method Based on Spectral Texture Scattering Terrain Feature Set and Multiscale Segmentation,2024,English,IEEE,,docs/literature/pdfs/package_2000_2026/A_Rocky_Desertification_Land_Extraction_Method_Based_on_Spectral-Texture-Scattering-Terrain_Multisource_Features_With_Time_Series.pdf,package_2000_2026,deep_learning_segmentation,DEM_ablation,high,yes,yes,yes,yes,no,no,yes,fully_read,critical,,no_action_needed
KRD0052,Classification of Karst Rocky Desertification Levels in Jinsha County Using a Feature Space Method Based on SDGSAT-1 Multispectral Data,2024,English,core,10.3390/rs16244786,,,machine_learning,feature_space,Very useful for feature-space KRD level classification and carbonate rock/vegetation index design.,no,no,no,no,no,yes,yes,style_read_only,critical,read for Remote Sensing style but not full scientific reader,batch_03_quick_reading
KRD0053,Desertification and land degradation assessment through remote sensing: review or applied method papers,2024,English,,,,,review,time_series;review,broader desertification background,no,no,no,no,no,no,no,pdf_missing,medium,no PDF path or local PDF was found,manual_check
KRD0054,Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI,2024,English,Geocarto International or related,10.1080/19475705.2024.2399659,docs/literature/pdfs/package_2000_2026/Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf; docs/literature/pdfs/package_2021_2026/Dynamic monitoring of rocky desertification utilizing a novel model based on Sentinel-2 images and KNDVI.pdf,package_2000_2026; package_2021_2026,rocky_desertification_classification,feature_space;vegetation_index,Useful for time-series/index-based KRD monitoring and feature-space comparison.,no,yes,yes,yes,no,no,yes,fully_read,critical,,no_action_needed
KRD0055,Identification and factor analysis of rocky desertification severity levels in large-scale karst areas based on deep learning image segmentation,2024,English,Ecological Indicators,10.1016/j.ecolind.2024.112565,,,deep_learning_segmentation,unknown,Important recent deep-learning segmentation reference for rocky desertification severity levels.,no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0056,Improving monitoring Karst rocky desertification using high-frequency Landsat time series,2024,English,Catena,,,,gee_time_series,time_series,high,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0057,Spatio-Temporal Evolution Characteristics and Driving Factors of Karst Rocky Desertification in Qujing City Based on GEE,2024,English,Sustainability,10.3390/su16072669,docs/literature/pdfs/package_2021_2026/EN12_Spatio-Temporal_Evolution_Characteristics_and_Driving_Factors_of_Karst_Rocky_Desertificati.pdf,package_2021_2026,dem_topography,GEE;time_series;DEM_ablation,low,yes,yes,yes,yes,no,no,yes,fully_read,critical,,no_action_needed
KRD0058,基于多源数据的石漠化地区裸岩信息提取和景观格局分析,2024,Chinese,万方学位论文,,docs/literature/pdfs/package_2000_2026/基于多源数据的石漠化地区裸岩信息提取和景观格局分析_张志慧.pdf,package_2000_2026,bare_rock_fraction_fbr,unknown,high,yes,yes,yes,yes,no,no,yes,fully_read,critical,,no_action_needed
KRD0059,基于多源数据的石漠化地区裸岩信息提取和景观格局分析（百度学术条目）,2024,Chinese,百度学术,,,,bare_rock_fraction_fbr,unknown,high,no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0060,基于多特征组合优选与随机森林算法的石漠化信息提取——以云南省昭通市为例,2024,Chinese,中国水土保持科学,10.16843/j.sswc.2022187,,,bare_rock_fraction_fbr,RF;vegetation_index;GEE;DEM_ablation,very_high,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0061,基于改进DeepLabV3+的石漠化地区裸岩信息提取,2024,Chinese,航天返回与遥感,10.3969/j.issn.1009-8518.2024.01.011,,,deep_learning_segmentation,DeepLabV3+,Very useful Chinese DeepLabV3+ reference for bare rock extraction in KRD area.,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0062,基于无人机影像与Sentinel-2影像的基岩裸露率反演与石漠化程度评价,2024,Chinese,百度学术条目/学位论文,,docs/literature/pdfs/package_2000_2026/基于无人机影像与Sentinel-2影像的基岩裸露率反演与石漠化程度评价_赵喆.pdf,package_2000_2026,bare_rock_fraction_fbr,DEM_ablation,very_high,yes,yes,yes,yes,no,no,yes,fully_read,critical,,no_action_needed
KRD0063,Dynamic evolution of rocky desertification and vegetation restoration and analysis of driving forces in Southwest Karst Region from 2000 to 2020,2025,English,PLOS ONE,10.1371/journal.pone.0332644,,,rocky_desertification_classification,vegetation_index,high,no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0064,Fine-Grained Land Use Remote Sensing Mapping in Karst Mountain Areas Using Very High Resolution Images,2025,English,Remote Sensing,10.3390/rs17142368,docs/literature/pdfs/package_2021_2026/EN18_Fine-Grained_Land_Use_Remote_Sensing_Mapping_in_Karst_Mountain_Areas_Using_Very_High_Resol.pdf,package_2021_2026,machine_learning,unknown,Related karst VHR classification reference for object/stratified mapping and fragmented landscapes.,yes,yes,yes,yes,no,no,yes,fully_read,high,,no_action_needed
KRD0065,Improved lightweight DeepLabV3+ for bare rock extraction from high-resolution UAV imagery,2025,English,Ecological Informatics,10.1016/j.ecoinf.2025.103204,,,deep_learning_segmentation,DeepLabV3+,Strong reference for DeepLabV3+-style bare-rock extraction and segmentation baselines.,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0066,Karst remote sensing ecological index for monitoring ecological quality in karst landscapes,2025,English,Scientific Reports,,,,rocky_desertification_classification,vegetation_index,medium,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0067,Karst rocky desertification delineation and estimation of potential soil loss in tropical karst cockpits,2025,English,Kuwait Journal of Science or Elsevier OA,10.1016/j.kjs.2025.100422,,,rocky_desertification_classification,unknown,Useful international karst comparison beyond Southwest China.,no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0068,RAP-Net: A Region Affinity Propagation-Guided Semantic Segmentation Network for Plateau Karst Landform Delineation,2025,English,Remote Sensing,10.3390/rs17173082,docs/literature/pdfs/package_2021_2026/EN17_RAP-Net_A_Region_Affinity_Propagation-Guided_Semantic_Segmentation_Network_for_Plateau_Kar.pdf,package_2021_2026,deep_learning_segmentation,unknown,"Not KRD degree classification, but relevant to karst segmentation, boundaries, fragmented targets.",yes,yes,yes,yes,no,no,yes,fully_read,critical,,no_action_needed
KRD0069,Spatiotemporal Dynamics of Rocky Desertification in the Danjiangkou Reservoir Area,2025,English,Sustainability,10.3390/su17219748,docs/literature/pdfs/package_2021_2026/EN14_Spatiotemporal_Dynamics_of_Rocky_Desertification_in_the_Danjiangkou_Reservoir_Area.pdf,package_2021_2026,gee_time_series,GEE;time_series,Related desertification/rocky desertification dynamics and classification context.,yes,no,no,no,no,no,no,unread_but_indexed,critical,PDF exists but no reader or card was detected,batch_03_full_reading
KRD0070,"Spatiotemporal Evolution and Driving Factors of Karst Rocky Desertification in Guangxi, China, Under Climate Change and Human Activities",2025,English,core,10.3390/rs17132294,,,gee_time_series,time_series,high,no,no,no,no,no,yes,yes,style_read_only,critical,read for Remote Sensing style but not full scientific reader,batch_03_quick_reading
KRD0071,Spatiotemporal evolution of karst rocky desertification and its driving factors in southwestern China from 1990 to 2020 using Google Earth Engine,2025,English,Environmental Earth Sciences,10.1007/s12665-025-12282-5,,,gee_time_series,GEE;time_series,Useful for cross-region/large-area KRD change analysis and driver discussion.,no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0072,Spatiotemporal evolution of rocky desertification and soil erosion in karst regions,2025,English,Catena,,,,gee_time_series,time_series,medium,no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0073,Spatiotemporal graph for detecting evolution characteristics of karst rocky desertification from long time-series Landsat images,2025,English,Catena,10.1016/j.catena.2025.109697,,,gee_time_series,time_series,high,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0074,云南边境石漠化地区“三生空间”格局演变及驱动机制,2025,Chinese,水土保持研究,,docs/literature/pdfs/package_2000_2026/云南边境石漠化地区“三生空间”格局演变及驱动机制_范新军.pdf,package_2000_2026,gee_time_series,time_series,medium,yes,no,no,no,no,no,no,unread_but_indexed,high,PDF exists but no reader or card was detected,batch_03_quick_reading
KRD0075,红层荒漠化场景分类相关文献,2025,Chinese,,,,,gee_time_series,vegetation_index;time_series,similar desertification degree classification method,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0076,顾及Vis-NIR光谱指数时序统计特征的红层荒漠化场景分类,2025,Chinese,农业工程学报,10.11975/j.issn.1002-6819.202411052,docs/literature/pdfs/package_2000_2026/顾及Vis-NIR光谱指数时序统计特征的红层荒漠化场景分类_陈震.pdf,package_2000_2026,machine_learning,RF;SVM;vegetation_index,Not KRD but relevant to desertification-degree scene classification and RF/SVM comparison.,yes,yes,yes,yes,no,no,yes,fully_read,high,,no_action_needed
KRD0077,Classification of rocky desertification degrees and spatiotemporal distribution patterns using a feature-space RDI framework,2026,English,Frontiers in Environmental Science,10.3389/fenvs.2026.1772333,,,gee_time_series,feature_space;vegetation_index;time_series,Recent degree-classification paper for framing classification thresholds and dynamics.,no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0078,Integrating ensemble learning and rocky desertification indices to enhance soil thickness prediction in typical karst regions,2026,English,Catena,,,,rocky_desertification_classification,unknown,medium,no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0079,"Karst Rocky Desertification in Southwest China: Remote Sensing Progress, Critical Challenges, and Future Pathways",2026,English,Applied Sciences,10.3390/app16136459,,,review,review,high,no,no,no,no,no,no,no,pdf_missing,critical,no PDF path or local PDF was found,manual_check
KRD0080,南太行地区（河南境内）石漠化分级评价及演进过程研究,2026,Chinese,信阳师范大学学报（自然科学版）,,docs/literature/pdfs/package_2000_2026/南太行地区(河南境内)石漠化分级评价及演进过程研究_褚加计.pdf,package_2000_2026,rocky_desertification_classification,unknown,high,yes,no,no,no,no,no,no,unread_but_indexed,high,PDF exists but no reader or card was detected,batch_03_quick_reading
KRD0081,西南喀斯特不同生境石漠化程度划分方法研究 / A new classification method of rocky desertification degree in different karst habitats,2026,Chinese,AMiner indexed record,,,,machine_learning,unknown,high,no,no,no,no,no,no,no,pdf_missing,high,no PDF path or local PDF was found,manual_check
KRD0082,,,,,,docs/literature/pdfs/package_2000_2026/1-s2.0-S0303243421000441-main.pdf,package_2000_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0083,,,,,,docs/literature/pdfs/package_2000_2026/1-s2.0-S0341816225009993-main.pdf,package_2000_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0084,,,,,,docs/literature/pdfs/package_2000_2026/1-s2.0-S1470160X24010227-main.pdf,package_2000_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0085,,,,,,docs/literature/pdfs/package_2000_2026/1-s2.0-S2307410825000665-main.pdf,package_2000_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0086,,,,,,docs/literature/pdfs/package_2000_2026/CN001_.pdf,package_2000_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
KRD0087,,,,,,docs/literature/pdfs/package_2000_2026/CN002_.pdf,package_2000_2026,other,unknown,,yes,no,no,no,no,no,no,unread_but_indexed,low,PDF exists but no reader or card was detected,add_to_literature_map_only
