paper_id,title,translated_title,language,year,authors,journal_or_source,doi,url,pdf_path,sha256,source_collection,source_manifest,topic_group,method_group,data_source,relevance_level,open_access_status,metadata_status,notes
KRD0027,面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省……为例,,Chinese,2018,,地质力学学报,10.12090/j.issn.1006-6616.2018.24.02.028,https://www.cgsjournals.com/dzlxxb/article/doi/10.12090/j.issn.1006-6616.2018.24.02.028,docs/literature/pdfs/package_2000_2026/面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省大方地区为例_周迪.pdf,b810f6e5c6a405987dd4fcaf3d107dc4f8f89f6e064802c36670e809091cfbe8,package_2000_2026,literature_manifest_all.csv; literature_manifest_verified_core.csv,deep_learning_segmentation,DEM_ablation,TM/ETM+; texture and terrain data,high,,complete,manifest_status: verified by web | filename_title_candidate: 面向对象的喀斯特地区石漠化遥感信息提取研究——以贵州省大方地区为例 周迪 | pdf_matched_by_filename_similarity=0.875 | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0028,Comparing Remote Sensing Methods for Monitoring Karst Rocky Desertification at Sub-Pixel Scales in a Highly Heterogeneous Karst Region,,English,2019,,Scientific Reports,10.1038/s41598-019-49730-9,https://www.nature.com/articles/s41598-019-49730-9,,,,literature_manifest_all.csv; literature_manifest_verified_core.csv,lsmm_mesma_sma,MESMA;SMA,ALOS imagery; field validation,very_high,,manifest_only,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0029,Spectral variability in hyperspectral unmixing: recent advances and future trends,,English,2019,,,,,,,,candidate_to_verify_cnki_wanfang_wos.csv; literature_manifest_all.csv,other,unknown,,To verify,,needs_manual_check,Useful for LSMM discussion; not KRD-specific | verify_in: IEEE Signal Processing Magazine | manifest_status: candidate | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0030,The Spatial Distribution Pattern of Rock in Rocky Desertification Area based on Unmanned Aerial Vehicle Imagery and Object-oriented Classification Method,,English/Chinese,2020,,地球信息科学学报 / Journal of Geo-information Science,10.12082/dqxxkx.2020.190744,https://www.dqxxkx.cn/EN/10.12082/dqxxkx.2020.190744,,,,literature_manifest_all.csv; literature_manifest_verified_core.csv,machine_learning,unknown,UAV imagery,high,,manifest_only,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md
KRD0031,云南省建水县石漠化修复模式评价,,Chinese,2020,,北京大学学报(自然科学版),,https://xbna.pku.edu.cn/fileup/0479-8023/HTML/2020-6-1073.html,docs/literature/pdfs/package_2000_2026/云南省建水县石漠化修复模式评价_肖林颖.caj.pdf,58f38493165d01e266969dd7265e99d78a20acfab250335dca496bfe36526435,package_2000_2026,literature_manifest_all.csv; literature_manifest_verified_core.csv,rocky_desertification_classification,vegetation_index,Landsat TM 1992-2017; monitoring data,medium,,partial,manifest_status: verified by web | filename_title_candidate: 云南省建水县石漠化修复模式评价 肖林颖.caj | pdf_matched_by_filename_similarity=0.789
KRD0032,石漠化地区遥感影像信息提取方法综述,,Chinese,2020,,安全与环境工程,10.13578/j.cnki.issn.1671-1556.2020.03.019,https://ktaq.cbpt.cnki.net/portal/journal/portal/client/paper/054e8053b7fbb3c3cf0d35a5013c1b52,docs/literature/pdfs/package_2000_2026/石漠化地区遥感影像信息提取方法综述_杨董琳.pdf,64bba01d6d54a3ed25ad00b4276e4709b8aba0d2d0c4f3437bde103a322c6ab7,package_2000_2026,literature_manifest_all.csv; literature_manifest_verified_core.csv,review,review,literature review,high,,complete,manifest_status: verified by web | filename_title_candidate: 石漠化地区遥感影像信息提取方法综述 杨董琳 | pdf_matched_by_filename_similarity=0.895
KRD0033,Extracting Information on Rocky Desertification from Satellite Images: A Comparative Study,,English,2021,Pu J.; Zhao X.; Dong P.; Wang Q.; Yue Q.,core,10.3390/rs13132497,https://www.mdpi.com/2072-4292/13/13/2497,docs/literature/pdfs/package_2000_2026/EN001_Extracting_Information_on_Rocky_Desertification_from_Satelli.pdf; docs/literature/pdfs/package_2021_2026/EN01_Extracting_Information_on_Rocky_Desertification_from_Satellite_Images_A_Comparative_Study.pdf; docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_2497_Pu_Extracting_Information_Rocky_Desertification.pdf,9c2ddd014243622f96e83c6e4eef33bad0b6003b041f06c11130803aff51d645,package_2000_2026; package_2021_2026; remote_sensing_only,articles_manifest.csv; literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,rocky_desertification_classification,unknown,Sentinel-2B; Landsat-8; GF-6,Very close to your paper: multi-source satellite comparison plus ML classification of rocky desertification levels.,,complete,PDF successfully downloaded via UNT mirror; official MDPI link included. | manifest_status: verified by web | filename_title_candidate: EN001 Extracting Information on Rocky Desertification from Satelli | pdf_matched_by_filename_similarity=0.774 | filename_title_candidate: EN01 Extracting Information on Rocky Desertification from Satellite Images A Comparative Study | filename_title_candidate: 2021 RemoteSens 13 2497 Pu Extracting Information Rocky Desertification | mentioned_in_notes: annotated_bibliography.md; annotated_bibliography__metadata_1.md
KRD0034,How Can We Realize Sustainable Development Goals in Rocky Desertified Regions by Enhancing Crop Yield with Reduction of Environmental Risks?,,,2021,Liang B.; Quine T.A.; Liu H.; Cressey E.L.; Bateman I.,background,10.3390/rs13091614,https://www.mdpi.com/2072-4292/13/9/1614,,,,articles_manifest.csv,other,unknown,,,,manifest_only,Background on rocky desertified regions; not a mapping-method paper.
KRD0035,Optimization of Rocky Desertification Classification Model Based on Vegetation Type and Seasonal Characteristic,,English,2021,Qian C.; Qiang H.; Wang F.; Li M.,core,10.3390/rs13152935,https://www.mdpi.com/2072-4292/13/15/2935,docs/literature/pdfs/package_2021_2026/EN02_Optimization_of_Rocky_Desertification_Classification_Model_Based_on_Vegetation_Type_and_Se.pdf; docs/literature/pdfs/remote_sensing_only/2021_RemoteSens_13_2935_Optimization_of_Rocky_Desertification_Classification_Model_B.pdf,a694a3d72eef12ba5ca3f4a31823394d65247c8c30193a8a191c9383fcab205a,package_2021_2026; remote_sensing_only,articles_manifest.csv; literature_manifest.csv,machine_learning,unknown,,Useful for introducing seasonal/vegetation context and machine-learning model comparison in KRD classification.,,complete,Official PDF link included; direct automated download blocked/limited during this session. | filename_title_candidate: EN02 Optimization of Rocky Desertification Classification Model Based on Vegetation Type and Se | pdf_matched_by_filename_similarity=0.874 | filename_title_candidate: 2021 RemoteSens 13 2935 Optimization of Rocky Desertification Classification Model B | mentioned_in_notes: annotated_bibliography__metadata_1.md; literature_database_overview.md
KRD0036,Spectral analysis of seasonal rock and vegetation changes for detecting karst rocky desertification in southwest China,,English,2021,,International Journal of Applied Earth Observation and Geoinformation,,https://www.sciencedirect.com/science/article/pii/S0303243421000441,,,,literature_manifest_all.csv; literature_manifest_verified_core.csv,rocky_desertification_classification,feature_space,Landsat-8 OLI; field measurements,very_high,,manifest_only,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0037,基于多时相Sentinel-2遥感数据的石漠化程度识别方法研究,,Chinese,2021,Baidu Scholar listing,中文学位/期刊检索结果,,https://xueshu.baidu.com/usercenter/paper/show?paperid=1r0k0mq0g91m0xd02v7r02u0r8464867&site=xueshu_se,docs/literature/pdfs/package_2021_2026/基于多时相Sentinel-2遥感数据的石漠化程度识别方法研究_徐瑞.pdf,a909c057eb10db926a42ba5f27f2461f27f22d4bc6cc9436aa9ec36fdebc5256,package_2021_2026,literature_manifest.csv,gee_time_series,time_series,,Relevant Chinese multi-temporal Sentinel-2 degree recognition reference; metadata should be verified before citation.,,partial,filename_title_candidate: 基于多时相Sentinel 2遥感数据的石漠化程度识别方法研究 徐瑞 | pdf_matched_by_filename_similarity=0.954 | mentioned_in_notes: annotated_bibliography__metadata_1.md; literature_database_overview.md
KRD0038,石漠化遥感信息提取方法进展,,Chinese,2021,种国双、海月、郑华、徐卫华、欧阳志云,应用生态学报（万方/百度学术检索结果）,10.3969/j.issn.0255-8297.2021.06.007,https://d.wanfangdata.com.cn/periodical/ChlQZXJpb2RpY2FsQ0hJTmV3UzIwMjIwOTAxEg95eWt4eGIyMDIxMDYwMDcaCHI4MnlrOGFp,docs/literature/pdfs/package_2021_2026/石漠化遥感信息提取方法进展.pdf,67bc22111b1acda58d50bf9978b67c460d86c0ab6eb6ba0f92f6288142c718ff,package_2021_2026,literature_manifest.csv,review,review,,Chinese review; useful for Chinese literature background and method taxonomy.,,complete,filename_title_candidate: 石漠化遥感信息提取方法进展 | pdf_matched_by_filename_similarity=1.000
KRD0039,遥感植被指数增强石漠化信息研究,,Chinese,2021,Unknown from OPAJ listing,中文期刊（开放检索页）,,https://opaj.napstic.cn/periodicalArticle/0120211000483150,docs/literature/pdfs/package_2000_2026/遥感植被指数增强石漠化信息研究_叶杰.pdf; docs/literature/pdfs/package_2021_2026/遥感植被指数增强石漠化信息研究.pdf,3e1545305911f6e58a332bdd2eba9460e85bfa1db86c454be8bd7d291886065f; df263acc72b22858c607ad6ac0d086bf8063b4b64c510d33b3b873ce933386b3,package_2000_2026; package_2021_2026,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,rocky_desertification_classification,vegetation_index,remote sensing vegetation indices,Useful Chinese index-based KRD extraction study; includes classification accuracy and Kappa.,,partial,manifest_status: verified by web | filename_title_candidate: 遥感植被指数增强石漠化信息研究 叶杰 | pdf_matched_by_filename_similarity=0.909 | filename_title_candidate: 遥感植被指数增强石漠化信息研究 | pdf_matched_by_filename_similarity=1.000
KRD0040,A novel-optimal monitoring index of rocky desertification based on Sentinel-2 MSI data,,English,2022,Taylor & Francis authors,Geocarto International or related Taylor & Francis outlet,10.1080/19475705.2022.2092038,https://www.tandfonline.com/doi/full/10.1080/19475705.2022.2092038,,,,literature_manifest.csv,rocky_desertification_classification,vegetation_index,,Useful for index/feature-space arguments and red-edge relevance.,,manifest_only,mentioned_in_notes: annotated_bibliography__metadata_1.md
KRD0041,Extraction of rocky desertification information in karst area by using different multispectral sensor data and multiple endmember spectral mixture analysis method,,English,2022,Frontiers authors,Frontiers in Environmental Science,10.3389/fenvs.2022.996708,https://www.frontiersin.org/journals/environmental-science/articles/10.3389/fenvs.2022.996708/full,,,,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,lsmm_mesma_sma,MESMA;SMA,Sentinel-2; Landsat-8; GF-6; field spectra,high,,manifest_only,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; annotated_bibliography__metadata_1.md; literature_database_overview.md
KRD0042,Information Extraction and Prediction of Rocky Desertification Based on Land Use Changes and FLUS Model,,English,2022,,Sustainability,10.3390/su142013385,https://www.mdpi.com/2071-1050/14/20/13385,,,,literature_manifest_all.csv; literature_manifest_verified_core.csv,machine_learning,unknown,remote sensing data,medium,,manifest_only,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md
KRD0043,"Machine learning algorithm for estimating karst rocky desertification in a peak-cluster depression basin in southwest Guangxi, China",,English,2022,Scientific Reports authors,Scientific Reports,10.1038/s41598-022-21684-5,https://www.nature.com/articles/s41598-022-21684-5,,,,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,machine_learning,RF,remote sensing predictors; GIS factors,"Useful for feature-factor selection, RF comparison, and justifying terrain/vegetation/rock exposure factors.",,manifest_only,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography__metadata_1.md
KRD0044,Spatiotemporal Evolution Analysis and Future Scenario Prediction of Rocky Desertification in a Subtropical Karst Region,,English,2022,Unknown / MDPI listing,core,10.3390/rs14020292,https://www.mdpi.com/2072-4292/14/2/292,,,,articles_manifest.csv; literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,gee_time_series,time_series,remote sensing imagery,Background for regional KRD evolution and the use of ML-driven RS products.,,manifest_only,Official PDF link included; direct automated download blocked/limited during this session. | manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; annotated_bibliography__metadata_1.md
KRD0045,The Changes of Spatiotemporal Pattern of Rocky Desertification and Its Dominant Driving Factors in Typical Karst Mountainous Areas under the Background of Global Change,,,2022,Guo B.; Yang F.; Fan J.; Lu Y.,core,10.3390/rs14102351,https://www.mdpi.com/2072-4292/14/10/2351,,,,articles_manifest.csv,gee_time_series,time_series,,,,manifest_only,Official PDF link included; direct automated download blocked/limited during this session.
KRD0046,Extraction of Rocky Desertification Information in the Karst Area Based on the Red-NIR-SWIR Spectral Feature Space,,English,2023,Cai J.; Yu W.; Fang Q.; Zi R.; Fang F.; Zhao L.,core,10.3390/rs15123056,https://www.mdpi.com/2072-4292/15/12/3056,,,,articles_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,rocky_desertification_classification,feature_space,multispectral remote sensing data,very_high,,manifest_only,Official PDF link included; direct automated download blocked/limited during this session. | manifest_status: verified by web
KRD0047,"Monitoring and Classification of Karst Rocky Desertification with Landsat 8 OLI Images Using Spectral Indices, Multi-Endmember Spectral Mixture Analysis and Support Vector Machine",,English,2023,"Alevkayali, Yayla, Atayeter",International Journal of Engineering and Geosciences,10.26833/ijeg.1149738,https://dergipark.org.tr/en/pub/ijeg/article/1149738,,,,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,lsmm_mesma_sma,MESMA;SMA;SVM,Landsat-8 OLI,Direct comparison point for LSMM/MESMA and SVM classification of KRD.,,manifest_only,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; annotated_bibliography__metadata_1.md; literature_database_overview.md
KRD0048,Monitoring the evolution process of karst desertification and distinguishing human and climate impacts,,English,2023,,Environmental Science and Pollution Research,10.1007/s11356-023-30920-y,https://link.springer.com/article/10.1007/s11356-023-30920-y,,,,literature_manifest_all.csv; literature_manifest_verified_core.csv,broader_desertification,unknown,MODIS; ERA5-Land,medium,,manifest_only,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md
KRD0049,基于GEE的曲靖石漠化时空演变过程分析,,Chinese,2023,西南林业大学学报 authors,西南林业大学学报（自然科学）,10.11929/j.swfu.202109006,https://xnldxb.ns.swfu.edu.cn/article/doi/10.11929/j.swfu.202109006,,,,literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,gee_time_series,GEE;time_series,Landsat; GEE,low,,manifest_only,manifest_status: verified by web
KRD0050,基于机器学习算法的喀斯特峰丛洼地石漠化程度评估,,Chinese,2023,,中国水土保持科学,10.16843/j.sswc.2023.05.006,https://html.rhhz.net/sswcc/html/2023/5/2023-5-51.htm,,,,literature_manifest_all.csv; literature_manifest_verified_core.csv,machine_learning,SVM,remote sensing data; field survey; meteorological data,very_high,,manifest_only,manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md
KRD0051,A Rocky Desertification Land Extraction Method Based on Spectral Texture Scattering Terrain Feature Set and Multiscale Segmentation,,English,2024,,IEEE,,https://ieeexplore.ieee.org/document/11023630,docs/literature/pdfs/package_2000_2026/A_Rocky_Desertification_Land_Extraction_Method_Based_on_Spectral-Texture-Scattering-Terrain_Multisource_Features_With_Time_Series.pdf,8521a66ed80896d0699d1cadcb30fb3d8dd6f302207de03b138831747ee0a87d,package_2000_2026,literature_manifest_all.csv; literature_manifest_verified_core.csv,deep_learning_segmentation,DEM_ablation,"time-series spectral, texture, scattering and terrain features",high,,partial,manifest_status: verified by web | filename_title_candidate: A Rocky Desertification Land Extraction Method Based on Spectral Texture Scattering Terrain Multisource Features With Time Series | pdf_matched_by_filename_similarity=0.838 | mentioned_in_notes: annotated_bibliography.md; literature_database_overview.md
KRD0052,Classification of Karst Rocky Desertification Levels in Jinsha County Using a Feature Space Method Based on SDGSAT-1 Multispectral Data,,English,2024,MDPI authors,core,10.3390/rs16244786,https://www.mdpi.com/2072-4292/16/24/4786,,,,articles_manifest.csv; literature_manifest.csv; literature_manifest_all.csv; literature_manifest_verified_core.csv,machine_learning,feature_space,SDGSAT-1 multispectral data,Very useful for feature-space KRD level classification and carbonate rock/vegetation index design.,,manifest_only,Official PDF link included; direct automated download blocked/limited during this session. | manifest_status: verified by web | mentioned_in_notes: annotated_bibliography.md; annotated_bibliography__metadata_1.md
KRD0053,Desertification and land degradation assessment through remote sensing: review or applied method papers,,English,2024,,,,,,,,literature_manifest_all.csv,review,time_series;review,,broader desertification background,,manifest_only,manifest_status: contextual | mentioned_in_notes: literature_database_overview.md
